,aerofaciens,anaerobius,bacterium,bartlettii,bicirculans,bifidum,breve,bromii,callidus,catus,champanellensis,comes,concisus,crossotus,dentium,disporicum,edouardi,equolifaciens,eutactus,faecis,formicigenerans,hadrus,hathewayi,hominis,inulinivorans,lenta,longicatena,longum,massiliensis,micra,mortiferum,mucilaginosa,nucleatum,obeum,paraputrificum,pectinoschiza,periodonticum,prausnitzii,provencensis,ruminantium,saccharivorans,sedimentorum,stercoris,stomatis,tayi,ulcerans,ureolyticus,varium
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-2.570117331986424,-2.570117331986424,8.547829168382767,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,8.077834445215172,-2.570117331986424,8.51608094889161,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,8.693009172342867,-2.570117331986424,-2.570117331986424,9.754911695647598,7.915319706785548,7.972476568380081,-2.570117331986424,-2.570117331986424,8.578600377245492,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,9.071071264765092,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,9.707055892079381,-2.570117331986424,-2.570117331986424,8.260152043761968,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424,-2.570117331986424
22,9.445289855645079,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,9.64595792487909,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,9.327508625516542,10.973747393730601,-1.6999252735399555,-1.6999252735399555,9.262971187694113,-1.6999252735399555,10.426110080968678,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,10.615351146703784,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555,-1.6999252735399555
23,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,10.09926634534673,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,9.476743219735834,9.21891822801467,-1.6997240085151812,-1.6997240085151812,10.049256310009877,10.16988340036928,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,11.19787362590984,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,9.476743219735834,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812,-1.6997240085151812
24,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,8.347214714849873,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,9.328026176543123,8.897249008449712,8.774648828460373,-2.119590497249485,-2.119590497249485,-2.119590497249485,9.798025802698579,-2.119590497249485,9.551167592877846,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,9.00644660150217,-2.119590497249485,8.204118250562125,-2.119590497249485,10.757132416785877,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485,-2.119590497249485
25,8.171738464314362,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,7.701752509391776,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,8.577193753219131,8.800333376824986,7.296310966561891,-2.2608247160007284,9.168053322826534,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,8.394876124118106,-2.2608247160007284,8.731341627541996,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,8.038211279890353,-2.2608247160007284,-2.2608247160007284,-2.2608247160007284,11.031527783338522
26,-1.03495982958737,-1.03495982958737,-1.03495982958737,11.211939610451537,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,11.394260367249013,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,11.59493033544108,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,11.337102188702213,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737,-1.03495982958737
27,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,9.666070517090542,-1.4876974450683864,10.95882843023841,9.997423613717388,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,10.118050433102415,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,-1.4876974450683864,10.764673258230761,-1.4876974450683864,10.978246440492487,-1.4876974450683864,-1.4876974450683864
28,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,9.622570013717649,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,8.740197784322106,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,10.206512609921605,-1.7109235597318957,-1.7109235597318957,10.280620105430042,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,10.54572641284727,-1.7109235597318957,10.206512609921605,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,10.54572641284727,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957,-1.7109235597318957
38,9.400037927067865,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,8.849996149938903,-2.588038784577904,8.44453643064703,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,8.654253903115308,8.44453643064703,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,7.7514054163617185,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,8.301438074142542,-2.588038784577904,8.680921805251717,-2.588038784577904,-2.588038784577904,8.56969767166919,9.628295310086804,-2.588038784577904,-2.588038784577904,9.032315910454308,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904,-2.588038784577904
39,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,8.246480527578266,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,8.694495845716554,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,8.106722491615479,-2.3092886913388444,-2.3092886913388444,7.50890999437121,10.709384446024412,-2.3092886913388444,8.443186171313503,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,9.154022045061243,-2.3092886913388444,8.512177616639471,-2.3092886913388444,9.505416818216803,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,8.872174314339077,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444,-2.3092886913388444
40,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,13.527688400506184,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896,-0.2878231574575896
41,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,11.77832456878661,-0.7944432640360422,12.042475339428668,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,11.929146973406478,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422,-0.7944432640360422
42,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,11.321729243109782,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,12.37777833041587,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,11.807234943516265,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405,-0.7890387226009405
43,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,9.956082843876326,-1.2581241938461432,11.04226368114492,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,11.3423670939703,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,10.444430403092705,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,11.31419631329957,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432,-1.2581241938461432
44,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,11.32552563981512,-1.2189069338296292,-1.2189069338296292,9.280793636498823,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,10.10175876342003,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,-1.2189069338296292,9.716101986052067,-1.2189069338296292,-1.2189069338296292,11.988818128887806,-1.2189069338296292
45,-1.7158527875783331,9.745123471739042,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,9.777912954780607,-1.7158527875783331,10.968891468117716,-1.7158527875783331,10.150585068766915,-1.7158527875783331,-1.7158527875783331,9.602024248592807,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,9.954842009947324,-1.7158527875783331,-1.7158527875783331,10.150585068766915,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331,-1.7158527875783331
46,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,10.422916822537612,-1.9315801384463729,-1.9315801384463729,9.869034898947511,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,9.92730338254628,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,8.847396984559976,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,8.847396984559976,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,10.247468971668988,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729,9.848832344690056,-1.9315801384463729,-1.9315801384463729,9.252855148344258,-1.9315801384463729,-1.9315801384463729,-1.9315801384463729
47,9.116562405863942,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,7.804398461515233,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,8.343382164940046,8.384203442806218,-2.586414931190731,-2.586414931190731,8.423423494432196,-2.586414931190731,8.631059758295379,-2.586414931190731,-2.586414931190731,8.599311493442622,-2.586414931190731,-2.586414931190731,9.496049416250997,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731,9.607966733386984,-2.586414931190731,8.599311493442622,-2.586414931190731,-2.586414931190731,-2.586414931190731,8.691683589680945,-2.586414931190731,-2.586414931190731,-2.586414931190731,-2.586414931190731
48,9.716348922832847,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,8.599401846808512,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,9.883401933377062,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,9.660259858976112,8.887078586026513,-2.15585924956998,9.174756658534294,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,8.542244687842967,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,9.898669315997886,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998,9.716348922832847,-2.15585924956998,-2.15585924956998,-2.15585924956998,-2.15585924956998
