,aerofaciens,anaerobius,bacterium,bartlettii,bicirculans,bifidum,breve,bromii,callidus,catus,champanellensis,comes,concisus,crossotus,dentium,disporicum,edouardi,equolifaciens,eutactus,faecis,formicigenerans,hadrus,hathewayi,hominis,inulinivorans,lenta,longicatena,longum,massiliensis,micra,mortiferum,mucilaginosa,nucleatum,obeum,paraputrificum,pectinoschiza,periodonticum,prausnitzii,provencensis,ruminantium,saccharivorans,sedimentorum,stercoris,stomatis,tayi,ulcerans,ureolyticus,varium
49,8.484725278954155,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,9.737474189185837,-2.3511096859904423,-2.3511096859904423,9.893477625401145,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,8.689516046884115,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,8.438206200529814,9.904527408718629,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,8.389417067290974,8.725883118312689,7.8786058764416875,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,9.20033525591759,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423,-2.3511096859904423
50,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,9.078172640935303,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,9.149630455510657,-1.923943866796714,-1.923943866796714,10.126130374395645,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,8.672715865986865,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,10.099813221921504,9.248069073604045,9.95671330135179,-1.923943866796714,-1.923943866796714,-1.923943866796714,10.626509738162595,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714,-1.923943866796714
51,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,10.336303691901287,-1.4820107910140283,9.00132325638305,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,10.918221986595684,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,10.947209405822354,-1.4820107910140283,10.282236879984637,10.75915800190197,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283,-1.4820107910140283
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,11.137737368366293,11.086444347661493,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,11.970643552181926,-1.0291197639970786,11.086444347661493,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786,-1.0291197639970786
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,9.184404252930307,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,10.189916458470298,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,8.422281609990478,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,8.874254863920681,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,8.673588784513605,10.368163779975848,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,10.635225472276586,-1.9076355290192257,-1.9076355290192257,9.957585938690995,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257,-1.9076355290192257
56,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,11.273250242239959,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,10.4429066188717,10.82856644558453,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,10.00759307163027,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,11.50150815638974,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723,-1.2570656868538723
57,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,12.84087169676807,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736,12.219184805219284,-0.544783836999736,-0.544783836999736,-0.544783836999736,-0.544783836999736
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
